CODGEO;LIBGEO;Abstention;Extrême-Gauche;LFI;PCF;PS;EELV;Divers Gauche;LREM;LR;Divers Droite;Debout la France;FN;Divers
100;France entière;24403480.0;154305.0;2497622.0;615487.0;1685677.0;623527.0;334033.0;7323496.0;4260652.0;458373.0;265420.0;2990454.0;327493.0
01016;Arbigny;160.0;2.0;12.0;2.0;3.0;6.0;0.0;48.0;45.0;0.0;0.0;26.0;1.0
01024;Attignat;1266.0;3.0;85.0;13.0;84.0;15.0;0.0;384.0;306.0;0.0;0.0;152.0;2.0
01029;Beaupont;227.0;0.0;15.0;2.0;8.0;3.0;0.0;64.0;56.0;0.0;0.0;47.0;0.0
01038;Bény;290.0;2.0;26.0;5.0;18.0;1.0;0.0;94.0;93.0;0.0;0.0;40.0;0.0
01040;Béréziat;196.0;2.0;21.0;6.0;12.0;1.0;0.0;42.0;33.0;0.0;0.0;30.0;0.0
01050;Boissey;127.0;0.0;4.0;0.0;3.0;3.0;0.0;31.0;40.0;0.0;0.0;36.0;1.0
01053;Bourg-en-Bresse;8649.0;62.0;736.0;135.0;1085.0;73.0;0.0;2381.0;1707.0;0.0;0.0;752.0;32.0
01057;Boz;206.0;4.0;16.0;2.0;7.0;1.0;0.0;68.0;31.0;0.0;0.0;50.0;1.0
01065;Buellas;659.0;3.0;50.0;10.0;53.0;4.0;0.0;280.0;158.0;0.0;0.0;90.0;4.0
01069;Certines;540.0;3.0;62.0;12.0;40.0;10.0;0.0;200.0;105.0;0.0;0.0;100.0;0.0
01072;Ceyzériat;1064.0;6.0;142.0;13.0;95.0;24.0;0.0;388.0;401.0;0.0;0.0;103.0;4.0
01094;Chavannes-sur-Reyssouze;308.0;1.0;15.0;5.0;10.0;2.0;0.0;96.0;50.0;0.0;0.0;58.0;1.0
01095;Nivigne et Suran;220.0;1.0;47.0;8.0;30.0;2.0;0.0;119.0;62.0;0.0;0.0;59.0;6.0
01102;Chevroux;347.0;2.0;24.0;5.0;12.0;5.0;0.0;96.0;85.0;0.0;0.0;64.0;4.0
01106;Cize;60.0;0.0;7.0;4.0;9.0;2.0;0.0;10.0;23.0;0.0;0.0;16.0;0.0
01108;Coligny;437.0;2.0;35.0;3.0;42.0;4.0;0.0;144.0;131.0;0.0;0.0;81.0;3.0
01115;Confrançon;496.0;2.0;44.0;5.0;35.0;10.0;0.0;131.0;74.0;0.0;0.0;85.0;3.0
01124;Cormoz;266.0;7.0;22.0;9.0;19.0;4.0;0.0;70.0;74.0;0.0;0.0;56.0;3.0
01125;Corveissiat;219.0;2.0;36.0;1.0;31.0;6.0;0.0;54.0;46.0;0.0;0.0;44.0;2.0
01127;Courmangoux;186.0;1.0;24.0;1.0;13.0;3.0;0.0;71.0;53.0;0.0;0.0;32.0;1.0
01128;Courtes;114.0;0.0;9.0;0.0;12.0;1.0;0.0;31.0;27.0;0.0;0.0;20.0;0.0
01130;Cras-sur-Reyssouze;534.0;2.0;37.0;6.0;46.0;3.0;0.0;208.0;112.0;0.0;0.0;85.0;3.0
01139;Curciat-Dongalon;168.0;1.0;15.0;2.0;7.0;2.0;0.0;43.0;48.0;0.0;0.0;35.0;0.0
01140;Curtafond;228.0;1.0;30.0;4.0;17.0;5.0;0.0;93.0;89.0;0.0;0.0;65.0;0.0
01145;Dompierre-sur-Veyle;419.0;2.0;45.0;4.0;23.0;3.0;0.0;126.0;90.0;0.0;0.0;100.0;9.0
01147;Domsure;171.0;0.0;17.0;2.0;15.0;2.0;0.0;57.0;52.0;0.0;0.0;44.0;1.0
