CODGEO;LIBGEO;Abstention;LO;PCF;LFI;Génération.s;PS - Place Publique;EELV;Renaissance;UDI;LR;Debout la France;RN;Patriotes, Jaunes, Citoyens;UPR;Alliance Jaune;Divers
100;France entière;23614588;176339;564949;1428548;741772;1403170;3055023;5079015;566057;1920407;795508;5286939;147140;265469;121209;1103629
01001;L'Abergement-Clémenciat;268;3;4;13;4;18;52;64;8;28;23;78;2;1;1;15
01002;L'Abergement-de-Varey;69;1;1;6;0;6;36;29;4;16;4;22;0;1;0;9
01004;Ambérieu-en-Bugey;3975;22;97;307;114;230;471;726;106;368;164;1027;30;46;28;219
01005;Ambérieux-en-Dombes;596;4;2;24;20;22;68;119;13;57;29;178;4;5;5;14
01006;Ambléon;34;0;4;2;5;2;7;12;0;9;7;16;0;0;0;1
01007;Ambronay;823;6;12;65;29;43;164;195;18;107;45;294;6;8;4;38
01008;Ambutrix;238;3;6;17;5;21;52;54;15;27;12;74;3;1;1;20
01009;Andert-et-Condon;117;3;1;7;7;7;18;39;2;17;6;38;0;1;0;5
01010;Anglefort;391;1;5;22;5;13;42;68;5;29;11;110;0;9;0;17
01011;Apremont;109;0;2;7;2;8;26;15;5;16;5;51;1;1;1;8
01012;Aranc;118;2;5;13;3;4;19;27;1;11;7;33;0;2;1;7
01013;Arandas;54;2;1;1;2;0;7;7;0;13;2;31;0;0;0;3
01014;Arbent;1310;9;15;59;21;40;102;183;19;94;37;232;5;18;6;26
01015;Arboys en Bugey;227;1;5;14;5;12;45;79;6;32;9;65;0;3;1;14
01016;Arbigny;175;2;1;10;6;4;14;16;1;20;10;44;1;1;1;4
01017;Argis;102;0;7;23;3;5;16;23;1;10;5;73;3;5;0;14
01019;Armix;11;0;0;3;3;0;0;6;0;2;1;4;0;0;2;3
01021;Ars-sur-Formans;392;2;8;8;3;17;76;118;19;106;29;115;4;6;2;19
01022;Artemare;413;3;8;29;9;14;39;65;7;52;26;149;5;5;3;14
01023;Asnières-sur-Saône;12;3;0;1;1;2;4;3;0;5;2;10;0;1;0;1
01024;Attignat;1300;12;14;45;43;39;120;229;35;120;42;264;14;10;3;51
01025;Bâgé-Dommartin;1533;4;18;50;30;64;159;298;44;142;85;361;8;10;3;56
01026;Bâgé-le-Châtel;271;4;4;14;4;12;37;81;14;27;10;61;3;0;2;8
01027;Balan;595;0;2;19;6;14;70;122;20;51;24;166;5;10;2;36
01028;Baneins;196;1;2;10;2;11;20;29;1;24;6;96;1;5;1;15
01029;Beaupont;213;2;5;12;2;2;18;42;8;18;14;64;2;3;2;8
01030;Beauregard;268;4;5;5;2;8;38;48;4;39;5;73;2;0;0;11
01031;Bellignat;1061;8;21;49;19;23;62;149;13;111;35;229;7;9;1;37
01032;Béligneux;941;10;16;53;25;49;115;160;13;92;49;246;11;9;2;44
01033;Valserhône;5372;26;66;232;105;184;490;713;94;325;148;939;26;55;19;152
01034;Belley;2905;15;37;147;72;138;324;586;60;311;93;664;22;31;14;111
01035;Belleydoux;124;0;1;7;6;10;24;15;2;8;10;33;0;2;0;5
01036;Valromey-sur-Seran;446;4;20;46;21;38;91;117;13;65;26;123;3;9;3;7
01037;Bénonces;101;1;2;3;6;6;11;20;5;30;4;35;0;0;1;4
01038;Bény;291;0;7;9;11;14;33;61;7;33;12;73;2;5;1;6
01039;Béon;160;1;2;10;11;10;20;49;4;12;8;43;2;1;1;10
01040;Béréziat;207;2;1;8;3;8;18;26;4;14;6;34;1;2;0;6
01041;Bettant;257;2;8;21;10;12;49;46;12;22;14;93;3;2;2;16
01042;Bey;116;1;0;9;2;7;28;21;3;8;7;14;0;1;0;5
01043;Beynost;1669;3;30;59;42;125;324;504;64;191;65;355;9;18;7;63
01044;Billiat;217;1;1;10;4;18;26;41;3;13;10;50;3;4;3;15
01045;Birieux;99;0;1;2;1;3;12;18;5;7;7;36;0;0;0;7
01046;Biziat;319;0;5;9;9;11;37;53;16;40;16;86;0;5;1;6
01047;Blyes;323;2;6;17;7;21;54;83;11;40;14;106;5;5;1;15
01049;La Boisse;1063;6;30;57;28;63;146;244;32;101;48;246;4;21;7;64
01050;Boissey;114;0;0;4;1;2;6;12;2;35;4;43;1;0;0;2
01051;Bolozon;38;2;1;1;3;6;7;7;0;3;4;12;0;0;0;3
01052;Bouligneux;105;1;0;1;1;8;12;30;7;26;6;43;1;5;0;2
01053;Bourg-en-Bresse;11966;64;207;558;350;836;1575;2394;245;1103;307;1863;65;124;47;408
01054;Bourg-Saint-Christophe;335;6;11;27;13;33;87;121;16;43;25;161;11;6;3;13
01056;Boyeux-Saint-Jérôme;125;0;1;10;3;6;22;36;4;27;9;44;4;2;1;3
01057;Boz;208;1;5;13;4;4;22;23;2;8;4;63;3;1;1;10
01058;Brégnier-Cordon;280;5;5;22;3;9;47;57;3;32;12;93;2;4;6;13
01060;Brénod;170;0;3;9;4;12;30;49;7;35;2;56;1;3;2;11
01061;Brens;356;5;1;24;10;29;71;75;13;43;32;152;2;0;3;26
01062;Bressolles;266;2;4;3;11;24;63;79;13;46;15;65;1;2;3;18
01063;Brion;176;1;1;5;5;12;16;41;5;42;8;48;2;0;1;1
01064;Briord;411;3;3;22;15;11;31;44;3;15;22;122;2;8;1;13
01065;Buellas;664;0;11;22;16;37;97;168;25;63;32;145;7;2;1;34
01066;La Burbanche;25;1;1;8;0;1;5;5;0;6;1;10;4;0;1;7
01067;Ceignes;97;0;2;4;4;7;16;24;4;9;7;20;1;0;1;5
01068;Cerdon;225;1;1;15;2;7;27;29;9;35;12;84;3;6;0;12
01069;Certines;519;3;16;24;17;41;71;110;15;36;26;153;2;9;1;21
01071;Cessy;1453;1;13;37;35;69;225;331;49;149;38;190;11;12;7;56
01072;Ceyzériat;1079;7;27;53;35;96;170;295;44;124;44;211;8;7;3;42
01073;Ceyzérieu;375;2;21;24;18;33;71;99;9;31;17;123;3;4;3;23
01074;Chalamont;851;5;5;23;22;25;65;141;18;80;50;208;5;10;2;32
01075;Chaleins;421;3;3;16;19;14;51;95;8;53;26;106;2;5;3;20
01076;Chaley;45;2;2;1;3;3;14;5;2;6;7;23;0;0;0;1
01077;Challes-la-Montagne;59;0;4;5;1;2;11;13;2;13;4;27;1;0;0;4
01078;Challex;452;0;2;17;8;15;96;100;6;23;18;51;0;1;2;21
01079;Champagne-en-Valromey;266;3;6;18;11;17;52;53;7;27;28;44;2;2;2;6
01080;Champdor-Corcelles;245;6;9;17;15;22;41;55;5;15;10;53;1;5;0;8
01081;Champfromier;233;0;4;20;11;18;54;40;7;35;4;57;0;3;0;14
01082;Chanay;156;2;3;16;8;10;29;37;5;10;10;51;1;4;2;12
01083;Chaneins;345;3;7;11;4;10;52;53;5;29;21;125;7;3;2;10
01084;Chanoz-Châtenay;307;2;0;6;9;15;32;66;11;29;19;96;5;4;0;13
01085;La Chapelle-du-Châtelard;126;0;1;1;5;3;18;20;0;28;11;63;3;1;1;11
01087;Charix;76;1;4;6;3;9;15;23;5;23;6;22;1;0;1;2
01088;Charnoz-sur-Ain;324;1;6;12;6;19;43;84;9;32;22;131;2;3;3;15
01089;Château-Gaillard;742;5;15;30;14;31;78;131;13;52;37;226;4;4;4;36
01090;Châtenay;105;1;5;4;8;4;22;26;7;14;6;32;1;3;1;6
01092;Châtillon-la-Palud;573;4;9;41;21;29;79;126;20;59;26;174;3;1;1;30
01093;Châtillon-sur-Chalaronne;1778;9;21;55;26;83;163;393;51;196;113;416;14;20;9;77
01094;Chavannes-sur-Reyssouze;305;0;9;8;3;13;27;31;8;17;19;67;3;4;0;14
01095;Nivigne et Suran;219;3;6;12;5;15;51;54;5;19;7;91;3;2;3;14
01096;Chaveyriat;389;1;4;18;16;7;51;75;7;24;8;113;1;2;0;16
01098;Chazey-Bons;361;1;5;24;6;17;39;85;8;29;26;102;10;7;3;21
01099;Chazey-sur-Ain;548;1;7;24;17;31;87;138;19;39;24;157;5;7;6;26
01100;Cheignieu-la-Balme;37;1;3;11;3;4;5;18;2;5;1;27;1;1;0;6
01101;Chevillard;61;2;4;2;4;5;7;14;2;8;6;22;1;1;2;3
01102;Chevroux;378;0;7;20;2;9;19;51;14;21;10;89;7;3;3;14
01103;Chevry;456;2;0;9;14;29;84;111;15;46;15;73;2;3;0;9
01104;Chézery-Forens;163;0;1;8;6;8;23;24;9;15;4;46;0;3;0;10
01105;Civrieux;611;4;5;21;6;30;93;155;19;72;20;118;11;6;3;27
01106;Cize;61;0;5;4;2;0;22;4;0;5;7;25;0;1;1;6
01107;Cleyzieu;34;1;0;2;4;5;11;5;3;17;6;21;0;0;0;1
01108;Coligny;412;4;5;25;14;13;58;72;10;46;22;118;5;8;2;15
01109;Collonges;765;8;8;31;13;24;79;80;20;39;22;80;7;2;4;24
01110;Colomieu;56;1;3;13;3;3;2;16;0;3;0;18;0;0;2;0
01111;Conand;40;1;0;5;1;3;12;15;1;1;3;13;0;0;0;4
01112;Condamine;116;1;2;7;2;2;20;31;4;15;11;29;2;2;1;11
01113;Condeissiat;276;2;3;12;15;18;46;63;7;26;20;54;3;8;2;9
01114;Confort;163;1;10;7;6;9;44;28;5;16;16;52;4;3;3;7
01115;Confrançon;452;1;5;22;10;16;53;74;16;35;24;123;2;2;1;21
01116;Contrevoz;198;2;4;19;4;6;31;37;2;22;8;78;0;4;0;8
01117;Conzieu;51;0;3;3;1;1;4;15;1;6;6;15;1;0;0;1
01118;Corbonod;416;4;3;21;10;12;40;68;6;51;12;96;4;4;0;19
01121;Corlier;27;0;0;4;0;1;8;13;3;3;1;20;0;1;0;3
