CODGEO;LIBGEO;Abstention;Extrême-Gauche;NUPES;Divers Gauche;Ensemble;Divers Droite;Droite souverainiste;LR;RN;Reconquête;Divers
100;France entière;25696346.0;219871.0;5836235.0;995023.0;6084643.0;616421.0;242502.0;2370836.0;4248622.0;964878.0;294880.0
01016;Arbigny;154.0;2.0;26.0;3.0;30.0;0.0;3.0;44.0;49.0;6.0;0.0
01024;Attignat;1281.0;3.0;215.0;35.0;241.0;0.0;14.0;303.0;270.0;61.0;0.0
01029;Beaupont;224.0;0.0;39.0;4.0;38.0;0.0;9.0;62.0;49.0;15.0;0.0
01038;Bény;306.0;3.0;81.0;6.0;40.0;0.0;3.0;98.0;49.0;14.0;0.0
01040;Béréziat;179.0;1.0;42.0;2.0;37.0;0.0;1.0;58.0;32.0;5.0;0.0
01050;Boissey;137.0;1.0;15.0;2.0;17.0;0.0;2.0;36.0;47.0;2.0;0.0
01053;Bourg-en-Bresse;8426.0;80.0;2282.0;180.0;1451.0;0.0;90.0;1589.0;917.0;380.0;0.0
01057;Boz;210.0;1.0;40.0;7.0;28.0;0.0;6.0;30.0;58.0;4.0;0.0
01065;Buellas;654.0;4.0;170.0;18.0;166.0;0.0;6.0;181.0;161.0;43.0;0.0
01069;Certines;639.0;8.0;133.0;19.0;98.0;0.0;10.0;104.0;123.0;26.0;0.0
01072;Ceyzériat;1135.0;10.0;326.0;33.0;248.0;0.0;10.0;398.0;183.0;51.0;0.0
01094;Chavannes-sur-Reyssouze;276.0;0.0;43.0;5.0;77.0;0.0;2.0;57.0;84.0;10.0;0.0
01095;Nivigne et Suran;240.0;2.0;95.0;11.0;46.0;0.0;11.0;67.0;98.0;12.0;0.0
01102;Chevroux;368.0;1.0;51.0;2.0;66.0;0.0;6.0;82.0;106.0;12.0;0.0
01106;Cize;75.0;0.0;22.0;3.0;5.0;0.0;3.0;12.0;15.0;4.0;0.0
01108;Coligny;434.0;1.0;118.0;13.0;63.0;0.0;2.0;129.0;121.0;34.0;0.0
01115;Confrançon;515.0;2.0;91.0;16.0;96.0;0.0;5.0;76.0;112.0;22.0;0.0
01124;Cormoz;296.0;4.0;26.0;4.0;41.0;0.0;6.0;83.0;46.0;11.0;0.0
01125;Corveissiat;195.0;1.0;71.0;8.0;35.0;0.0;5.0;54.0;63.0;5.0;0.0
01127;Courmangoux;150.0;2.0;56.0;11.0;53.0;0.0;4.0;52.0;44.0;10.0;0.0
01128;Courtes;106.0;0.0;22.0;8.0;20.0;0.0;0.0;21.0;37.0;6.0;0.0
01130;Bresse Vallons;925.0;10.0;165.0;20.0;140.0;0.0;20.0;196.0;207.0;44.0;0.0
01139;Curciat-Dongalon;155.0;1.0;21.0;7.0;36.0;0.0;3.0;41.0;51.0;5.0;0.0
01140;Curtafond;241.0;4.0;71.0;7.0;48.0;0.0;9.0;93.0;73.0;10.0;0.0
01145;Dompierre-sur-Veyle;459.0;2.0;74.0;18.0;92.0;0.0;10.0;82.0;135.0;21.0;0.0
01147;Domsure;204.0;1.0;27.0;1.0;30.0;0.0;3.0;82.0;46.0;7.0;0.0
01150;Drom;67.0;2.0;41.0;3.0;16.0;0.0;3.0;22.0;24.0;2.0;0.0
01151;Druillat;417.0;5.0;106.0;12.0;78.0;0.0;8.0;107.0;120.0;28.0;0.0
01163;Foissiat;865.0;2.0;106.0;24.0;128.0;0.0;9.0;241.0;185.0;29.0;0.0
01175;Gorrevod;334.0;6.0;67.0;11.0;72.0;0.0;4.0;90.0;60.0;8.0;0.0
01177;Grand-Corent;53.0;1.0;47.0;5.0;22.0;0.0;2.0;13.0;13.0;5.0;0.0
01184;Hautecourt-Romanèche;306.0;2.0;93.0;12.0;48.0;0.0;5.0;75.0;87.0;12.0;0.0
01195;Jasseron;643.0;2.0;189.0;27.0;137.0;0.0;5.0;185.0;126.0;32.0;0.0
01196;Jayat;509.0;3.0;58.0;16.0;63.0;0.0;2.0;107.0;110.0;14.0;0.0
01197;Journans;100.0;3.0;77.0;11.0;14.0;0.0;4.0;34.0;25.0;14.0;0.0
01212;Lescheroux;295.0;8.0;36.0;6.0;25.0;0.0;2.0;86.0;91.0;8.0;0.0
01229;Malafretaz;511.0;4.0;76.0;13.0;96.0;0.0;5.0;103.0;105.0;10.0;0.0
01230;Mantenay-Montlin;127.0;1.0;23.0;3.0;23.0;0.0;2.0;45.0;33.0;5.0;0.0
01232;Marboz;905.0;2.0;158.0;21.0;156.0;0.0;5.0;263.0;175.0;40.0;0.0
01236;Marsonnas;396.0;5.0;57.0;12.0;94.0;0.0;3.0;79.0;80.0;18.0;0.0
01241;Meillonnas;487.0;2.0;172.0;16.0;102.0;0.0;4.0;132.0;108.0;28.0;0.0
01245;Bohas-Meyriat-Rignat;347.0;6.0;120.0;16.0;66.0;0.0;9.0;81.0;55.0;21.0;0.0
01259;Montcet;227.0;2.0;55.0;12.0;47.0;0.0;8.0;60.0;71.0;9.0;0.0
01266;Montrevel-en-Bresse;1035.0;8.0;182.0;12.0;186.0;0.0;17.0;266.0;211.0;54.0;0.0
01273;Neuville-sur-Ain;683.0;12.0;138.0;18.0;97.0;0.0;5.0;98.0;179.0;42.0;0.0
01284;Ozan;294.0;3.0;43.0;12.0;40.0;0.0;6.0;48.0;89.0;4.0;0.0
01296;Pirajoux;193.0;1.0;18.0;4.0;7.0;0.0;2.0;52.0;35.0;6.0;0.0
01301;Polliat;1019.0;9.0;189.0;21.0;216.0;0.0;22.0;332.0;208.0;40.0;0.0
01304;Pont-d'Ain;1127.0;13.0;212.0;22.0;126.0;0.0;18.0;172.0;194.0;47.0;0.0
01305;Pont-de-Vaux;835.0;5.0;133.0;14.0;158.0;0.0;8.0;179.0;122.0;20.0;0.0
01309;Pouillat;26.0;0.0;8.0;2.0;8.0;0.0;1.0;7.0;13.0;2.0;0.0
01314;Priay;658.0;9.0;130.0;24.0;93.0;0.0;10.0;111.0;189.0;28.0;0.0
01317;Ramasse;105.0;1.0;44.0;3.0;15.0;0.0;1.0;31.0;43.0;6.0;0.0
01321;Revonnas;332.0;7.0;115.0;13.0;78.0;0.0;7.0;69.0;76.0;8.0;0.0
01323;Reyssouze;393.0;3.0;64.0;7.0;79.0;0.0;4.0;62.0;106.0;13.0;0.0
01337;Saint-Bénigne;511.0;4.0;85.0;13.0;96.0;0.0;9.0;110.0;122.0;24.0;0.0
01344;Saint-Denis-lès-Bourg;2151.0;24.0;624.0;79.0;655.0;0.0;40.0;544.0;361.0;106.0;0.0
01346;Saint-Didier-d'Aussiat;285.0;3.0;55.0;7.0;61.0;0.0;6.0;94.0;90.0;17.0;0.0
01350;Saint-Etienne-du-Bois;915.0;13.0;233.0;19.0;183.0;0.0;13.0;327.0;213.0;45.0;0.0
01352;Saint-Etienne-sur-Reyssouze;223.0;2.0;36.0;7.0;38.0;0.0;2.0;52.0;42.0;5.0;0.0
01364;Saint-Jean-sur-Reyssouze;313.0;1.0;40.0;11.0;41.0;0.0;5.0;72.0;74.0;8.0;0.0
01367;Saint-Julien-sur-Reyssouze;211.0;2.0;54.0;5.0;36.0;0.0;4.0;60.0;78.0;12.0;0.0
01374;Saint-Martin-du-Mont;720.0;9.0;171.0;16.0;132.0;0.0;15.0;189.0;161.0;45.0;0.0
01375;Saint-Martin-le-Châtel;304.0;0.0;72.0;7.0;67.0;0.0;10.0;76.0;80.0;21.0;0.0
01380;Saint-Nizier-le-Bouchoux;221.0;3.0;44.0;5.0;54.0;0.0;8.0;84.0;87.0;10.0;0.0
01387;Saint-Sulpice;70.0;1.0;15.0;3.0;17.0;0.0;7.0;22.0;35.0;1.0;0.0
01388;Saint-Trivier-de-Courtes;357.0;2.0;30.0;6.0;73.0;0.0;6.0;113.0;111.0;13.0;0.0
01391;Salavre;107.0;1.0;31.0;4.0;14.0;0.0;5.0;49.0;36.0;11.0;0.0
01402;Sermoyer;239.0;1.0;58.0;7.0;36.0;0.0;4.0;42.0;89.0;27.0;0.0
01406;Servignat;49.0;1.0;12.0;4.0;14.0;0.0;0.0;25.0;19.0;7.0;0.0
01408;Simandre-sur-Suran;253.0;3.0;96.0;7.0;32.0;0.0;7.0;68.0;58.0;15.0;0.0
01422;Tossiat;560.0;5.0;135.0;11.0;119.0;0.0;8.0;120.0;118.0;32.0;0.0
01425;La Tranclière;108.0;2.0;24.0;4.0;35.0;0.0;1.0;23.0;25.0;11.0;0.0
01426;Val-Revermont;861.0;5.0;348.0;26.0;154.0;0.0;12.0;196.0;222.0;45.0;0.0
01429;Vandeins;250.0;2.0;42.0;8.0;40.0;0.0;4.0;67.0;72.0;14.0;0.0
01430;Varambon;218.0;4.0;47.0;6.0;42.0;0.0;2.0;43.0;51.0;13.0;0.0
01432;Verjon;108.0;2.0;31.0;14.0;14.0;0.0;2.0;52.0;32.0;6.0;0.0
01433;Vernoux;87.0;3.0;20.0;3.0;9.0;0.0;4.0;29.0;36.0;3.0;0.0
01437;Vescours;71.0;3.0;8.0;0.0;15.0;0.0;1.0;23.0;20.0;5.0;0.0
01445;Villemotier;236.0;3.0;42.0;6.0;32.0;0.0;0.0;73.0;58.0;10.0;0.0
01447;Villereversure;467.0;0.0;108.0;8.0;70.0;0.0;12.0;121.0;115.0;22.0;0.0
01451;Viriat;2484.0;21.0;442.0;60.0;460.0;0.0;30.0;745.0;457.0;94.0;0.0
01008;Ambutrix;239.0;5.0;70.0;5.0;63.0;4.0;5.0;52.0;87.0;14.0;2.0
01021;Ars-sur-Formans;471.0;2.0;96.0;4.0;136.0;10.0;5.0;97.0;141.0;66.0;3.0
01027;Balan;667.0;5.0;106.0;7.0;163.0;5.0;13.0;100.0;182.0;21.0;3.0
01030;Beauregard;314.0;3.0;59.0;5.0;59.0;11.0;8.0;44.0;58.0;14.0;1.0
01032;Béligneux;1133.0;9.0;210.0;13.0;215.0;11.0;7.0;120.0;249.0;53.0;5.0
01043;Beynost;1865.0;12.0;515.0;31.0;612.0;13.0;19.0;235.0;342.0;77.0;14.0
01047;Blyes;422.0;3.0;88.0;12.0;88.0;4.0;7.0;91.0;123.0;29.0;2.0
01049;La Boisse;1215.0;12.0;310.0;19.0;297.0;22.0;12.0;139.0;262.0;62.0;7.0
01054;Bourg-Saint-Christophe;483.0;4.0;163.0;6.0;146.0;5.0;8.0;70.0;164.0;30.0;3.0
01062;Bressolles;329.0;2.0;88.0;4.0;128.0;4.0;4.0;71.0;60.0;14.0;4.0
01088;Charnoz-sur-Ain;363.0;3.0;83.0;7.0;81.0;8.0;13.0;66.0;128.0;24.0;1.0
01099;Chazey-sur-Ain;593.0;4.0;144.0;8.0;151.0;14.0;8.0;126.0;143.0;26.0;1.0
01105;Civrieux;697.0;6.0;129.0;8.0;225.0;14.0;9.0;84.0;157.0;44.0;5.0
01142;Dagneux;1742.0;15.0;421.0;18.0;428.0;20.0;18.0;176.0;364.0;80.0;2.0
01156;Faramans;308.0;6.0;51.0;2.0;79.0;7.0;3.0;50.0;116.0;26.0;1.0
01166;Frans;896.0;9.0;196.0;19.0;290.0;12.0;10.0;141.0;192.0;39.0;3.0
01194;Jassans-Riottier;2417.0;23.0;494.0;26.0;578.0;17.0;28.0;289.0;424.0;103.0;15.0
01198;Joyeux;91.0;0.0;31.0;1.0;28.0;3.0;2.0;30.0;17.0;4.0;0.0
01202;Lagnieu;2724.0;19.0;591.0;22.0;413.0;60.0;42.0;768.0;546.0;76.0;15.0
01213;Leyment;534.0;10.0;124.0;3.0;82.0;2.0;1.0;62.0;142.0;30.0;1.0
01224;Loyettes;1300.0;12.0;173.0;8.0;196.0;7.0;8.0;126.0;264.0;30.0;6.0
01238;Massieux;1056.0;10.0;236.0;8.0;291.0;6.0;20.0;115.0;260.0;49.0;3.0
01244;Meximieux;2968.0;21.0;757.0;46.0;698.0;39.0;37.0;341.0;519.0;81.0;20.0
