PCS;5;3;2;BAC;CAP;BREVET;CERTIF
10;2.8;3.1;9.4;18.2;29.8;4.7;32
21;2.6;3.6;8.6;21.6;39.6;4.5;19.4
22;9.4;12.2;12.5;20.4;18.9;6.8;19.7
23;20.9;14.1;15.7;19.8;16.6;5.1;7.9
31;81;7.5;4.7;3.6;1.5;0;1
33;38.1;22;11.6;15;6.4;4.3;2.5
34;53.8;36.2;4.4;4;0.7;0;0
35;25.7;30.8;13.3;16.2;5.2;3.5;5
37;38.5;20.2;16;13;6.2;3.4;2.4
38;53.4;12.5;14.9;9;6;1.8;2.4
42;19.8;34.5;15.8;20;4.7;2.4;2.5
43;7.4;23;43.6;15;6.1;2.3;2.5
44;0;52.6;0;0;0;0;0
45;5.6;16;15.7;30.7;16.4;9.5;6.1
46;10.3;15.7;21.7;23.3;15.9;5.4;7.6
47;5.7;12.3;24.6;25;23;3.6;5.9
48;2.9;4.2;12.6;24.1;37.9;5.8;12.4
52;1.3;4.1;6.7;21.9;38.8;7.4;19.8
53;0;6.5;11.3;32.1;22.4;10.1;16.5
54;4.4;11.4;19;29.3;20.1;6.8;8.9
55;2.5;6.3;7.7;31.3;24.3;9.5;18.3
56;1.2;3.4;5;19.9;26.3;9.4;34.7
62;0.7;1.4;5.2;16.7;40.5;5.2;30.2
63;0.7;1.9;3.9;17.8;45.1;4.7;25.8
64;0;1.8;4.2;16.2;40.1;7.3;29.7
65;0;2.6;5.3;21.2;33.2;7.1;29.7
67;0.8;2.9;3.9;20.5;25.7;7.8;38.3
68;0;1.3;2.1;10;26.2;10;49.8
69;0;3.9;5.7;18.6;21.2;14.3;34.4
7;0;0;0;0;180;0;0
