PCS;Niveau de vie;Patrimoine
10;2172.3;668.3
21;1786.3;359.6
22;2085.9;444.8
23;3503.8;1532.3
31;3566.9;583.0
33;2918.8;449.2
34;2853.8;405.5
35;2238.3;278.4
37;3135.1;551.0
38;2987.8;385.9
42;2177.9;270.1
43;2321.8;255.3
44;1448.9;213.5
45;2285.4;267.5
46;2239.5;263.9
47;2223.0;247.9
48;2226.7;246.6
52;1859.0;159.1
53;1970.4;205.6
54;2083.3;265.1
55;1770.1;56.7
56;1585.3;62.8
62;1933.2;177.2
63;1790.0;190.4
64;1815.5;199.7
65;1819.0;55.5
67;1742.6;31.9
68;1498.5;102.3
69;1764.8;87.2
7;1936.7;232.8
