CODGEO;LIBGEO;Abstention;Arthaud;Roussel;Macron;Lassalle;Le Pen;Zemmour;Mélenchon;Hidalgo;Jadot;Pécresse;Poutou;Dupont-Aignan
100;France entière;12824169;197094;802422;9783058;1101387;8133828;2485226;7712520;616478;1627853;1679001;268904;725176
01001;L'Abergement-Clémenciat;108;3;6;150;18;149;43;66;5;30;26;3;21
01002;L'Abergement-de-Varey;38;2;7;50;10;23;14;41;3;10;8;3;0
01004;Ambérieu-en-Bugey;2078;38;173;1453;177;1646;530;1604;112;287;309;43;181
01005;Ambérieux-en-Dombes;234;8;19;279;24;352;77;137;14;41;48;2;27
01006;Ambléon;23;0;6;21;2;16;3;15;2;2;9;0;1
01007;Ambronay;338;10;46;403;60;499;141;276;31;69;77;8;39
01008;Ambutrix;80;2;8;109;17;152;31;71;5;22;26;6;14
01009;Andert-et-Condon;48;1;6;63;6;46;17;54;2;9;17;3;4
01010;Anglefort;168;5;9;125;38;225;39;88;8;15;19;5;32
01011;Apremont;44;0;4;45;19;65;27;36;1;17;14;2;6
01012;Aranc;62;4;6;51;9;54;13;59;2;10;5;3;4
01013;Arandas;29;1;2;17;5;37;5;11;0;4;7;0;5
01014;Arbent;656;7;22;371;61;344;156;415;21;50;62;8;46
01015;Arboys en Bugey;91;0;7;133;20;112;22;83;9;31;25;7;12
01016;Arbigny;58;1;6;61;10;89;12;34;10;10;17;0;13
01017;Argis;46;1;6;34;9;89;21;63;4;12;5;1;10
01019;Armix;8;0;4;4;2;9;3;4;1;5;0;0;0
01021;Ars-sur-Formans;170;2;10;233;21;242;113;116;11;43;53;2;33
01022;Artemare;189;7;6;140;35;208;78;111;7;16;32;4;30
01023;Asnières-sur-Saône;7;0;0;6;0;22;9;8;0;3;2;0;3
01024;Attignat;475;7;33;541;52;572;146;302;26;85;116;9;41
01025;Bâgé-Dommartin;621;11;46;673;90;710;131;328;49;79;124;16;89
01026;Bâgé-le-Châtel;122;2;6;164;19;130;37;58;4;21;20;1;8
01027;Balan;219;7;15;290;31;339;87;139;11;39;54;5;15
01028;Baneins;78;3;2;71;15;116;39;39;9;13;24;4;13
01029;Beaupont;74;1;8;74;22;118;41;37;7;16;21;1;15
01030;Beauregard;135;2;4;102;11;124;37;78;6;23;30;2;8
01031;Bellignat;540;7;32;308;54;341;116;294;12;38;72;5;13
01032;Béligneux;445;11;23;377;37;482;143;296;20;51;66;15;37
01033;Valserhône;2917;42;107;1375;217;1528;507;1764;115;293;255;51;195
01034;Belley;1597;28;85;1063;120;1014;365;965;72;164;231;37;97
01035;Belleydoux;50;1;8;42;16;46;14;47;4;11;16;0;11
01036;Valromey-sur-Seran;212;7;23;220;38;192;54;179;21;40;48;8;41
01037;Bénonces;59;2;4;32;10;49;15;24;3;9;23;5;3
01038;Bény;92;2;7;144;17;131;33;75;16;14;38;2;19
01039;Béon;89;1;9;67;11;77;16;47;3;12;14;3;5
01040;Béréziat;74;0;6;73;17;93;25;38;7;10;13;0;4
01041;Bettant;125;3;14;100;20;118;27;97;7;16;16;2;9
01042;Bey;37;1;3;63;9;46;11;33;3;18;10;2;5
01043;Beynost;792;11;51;985;63;619;225;500;53;172;158;11;43
01044;Billiat;109;3;13;60;15;101;26;54;5;16;9;7;14
01045;Birieux;32;0;0;45;8;72;15;11;1;8;3;1;7
01046;Biziat;115;1;5;140;15;179;44;58;9;23;21;1;15
01047;Blyes;143;4;13;169;24;227;69;90;7;35;32;6;22
01049;La Boisse;491;4;37;520;46;424;187;336;29;85;84;10;41
01050;Boissey;55;1;3;55;3;82;9;27;1;6;12;2;4
01051;Bolozon;16;2;4;9;3;16;6;15;2;2;3;2;1
01052;Bouligneux;33;0;2;63;10;62;35;21;3;7;19;0;3
01053;Bourg-en-Bresse;6842;82;332;4472;374;2800;1225;4098;457;899;862;88;303
