CODGEO;LIBGEO;Abstention;La France Insoumise;Parti Communiste;PS - Place Publique;Les Écologistes;Renaissance;Les Républicains;Reconquête;Rassemblement National;Parti Animaliste;Divers
100;France entière;23992509;2448703;584067;3424216;1361883;3614646;1794171;1353127;7765936;495936;1911088
01001;L'Abergement-Clémenciat;289;11;5;27;21;53;24;30;158;10;30
01002;L'Abergement-de-Varey;72;20;2;18;20;22;9;8;30;2;19
01004;Ambérieu-en-Bugey;4081;617;103;563;217;491;294;265;1565;81;335
01005;Ambérieux-en-Dombes;560;31;13;69;24;111;46;36;361;16;52
01006;Ambléon;34;3;1;9;3;15;5;1;24;2;2
01007;Ambronay;839;63;22;156;65;140;83;66;493;17;79
01008;Ambutrix;228;22;8;40;14;39;20;18;144;5;24
01009;Andert-et-Condon;115;9;2;28;3;23;15;8;59;4;12
01010;Anglefort;388;21;9;35;18;56;9;20;191;7;47
01011;Apremont;112;10;3;18;15;11;6;6;85;2;19
01012;Aranc;118;19;3;27;3;21;10;15;59;5;15
01013;Arandas;33;3;2;5;3;10;2;11;36;1;18
01014;Arbent;1252;135;14;107;18;127;68;59;382;22;54
01015;Arboys en Bugey;231;15;5;52;15;46;26;16;110;5;34
01016;Arbigny;137;7;4;16;4;14;18;17;82;4;15
01017;Argis;104;21;2;19;6;20;2;19;91;10;29
01019;Armix;11;0;1;5;1;4;0;1;8;0;6
01021;Ars-sur-Formans;393;30;7;54;39;120;84;69;218;15;39
01022;Artemare;392;25;8;44;18;48;25;30;214;10;58
01023;Asnières-sur-Saône;10;0;0;5;5;3;3;3;22;1;5
01024;Attignat;1150;77;20;142;46;193;115;84;539;18;63
01025;Bâgé-Dommartin;1451;64;39;181;54;242;135;73;709;22;131
01026;Bâgé-le-Châtel;286;14;6;33;16;48;37;18;122;1;34
01027;Balan;570;44;9;76;14;99;67;39;334;13;45
01028;Baneins;168;9;1;13;18;30;16;10;121;6;31
01029;Beaupont;234;12;3;20;4;36;13;15;97;0;24
01030;Beauregard;274;28;2;30;11;48;22;8;120;6;21
01031;Bellignat;1026;133;30;63;32;111;59;55;343;13;44
01032;Béligneux;993;107;16;100;30;141;77;82;442;21;55
01033;Valserhône;5578;633;76;441;187;440;211;296;1429;84;324
01034;Belley;3172;307;66;356;130;415;217;191;1015;57;192
01035;Belleydoux;111;14;1;18;19;23;8;9;56;1;13
01036;Valromey-sur-Séran;447;59;19;106;42;84;42;33;180;6;78
01037;Bénonces;100;8;4;7;9;9;20;11;43;2;20
01038;Bény;254;14;11;28;13;46;26;21;140;4;36
01040;Béréziat;152;15;4;23;5;33;10;8;102;1;23
01041;Bettant;224;32;17;34;19;30;17;19;128;5;32
01042;Bey;114;12;3;23;7;18;11;7;45;5;16
01043;Beynost;1617;203;33;304;133;381;215;106;687;47;133
01044;Billiat;244;9;4;24;8;18;14;14;93;5;28
01045;Birieux;72;3;2;16;6;9;4;11;70;1;14
01046;Biziat;267;14;4;29;20;49;33;13;179;8;26
01047;Blyes;366;30;8;66;21;56;45;25;239;8;38
01049;La Boisse;1076;117;27;162;56;176;99;67;504;21;89
01050;Boissey;105;2;0;6;6;13;13;6;78;5;13
01051;Bolozon;22;3;3;8;0;8;2;6;9;0;5
01052;Bouligneux;90;1;0;16;9;24;19;23;63;2;17
01053;Bourg-en-Bresse;11534;1582;198;1858;640;1554;867;630;2843;177;899
01054;Bourg-Saint-Christophe;391;46;21;99;38;83;55;35;260;17;50
01056;Boyeux-Saint-Jérôme;127;10;5;8;13;29;10;11;90;0;23
01057;Boz;174;10;5;28;7;19;11;4;114;2;17
01058;Brégnier-Cordon;331;17;11;41;19;36;3;19;143;6;49
01060;Brénod;137;12;3;32;11;39;30;16;96;5;22
01061;Brens;392;26;5;66;27;85;32;31;251;10;28
01062;Bressolles;285;27;5;55;32;69;43;24;141;8;33
01063;Brion;161;15;2;18;5;48;21;15;108;6;22
01064;Briord;420;22;11;30;15;43;18;15;214;16;26
01065;Buellas;596;27;15;116;29;141;61;59;301;10;47
