CODGEO;LIBGEO;Abstention;Extrême-Gauche;NFP;Divers Gauche;Ensemble;Divers Centre;LR;RN;Reconquête;Divers
100;France entière;16424052;366594;8995226;733069;6425707;786162;3351061;9379092;238934;1779099
01001;L'Abergement-Clémenciat;170;2.0;83.0;0.0;86.0;0.0;47.0;258.0;0.0;0.0
01002;L'Abergement-de-Varey;50;1.0;62.0;2.0;19.0;0.0;45.0;0.0;0.0;42.0
01004;Ambérieu-en-Bugey;2707;94.0;1759.0;51.0;789.0;0.0;989.0;0.0;60.0;2148.0
01005;Ambérieux-en-Dombes;377;14.0;173.0;0.0;198.0;0.0;61.0;494.0;0.0;1.0
01006;Ambléon;30;1.0;14.0;0.0;22.0;0.0;3.0;24.0;0.0;0.0
01007;Ambronay;543;11.0;310.0;19.0;226.0;0.0;288.0;0.0;11.0;628.0
01008;Ambutrix;150;6.0;85.0;0.0;82.0;0.0;46.0;178.0;0.0;11.0
01009;Andert-et-Condon;91;2.0;42.0;0.0;56.0;0.0;12.0;77.0;0.0;1.0
01010;Anglefort;261;3.0;104.0;0.0;133.0;0.0;43.0;266.0;0.0;2.0
01011;Apremont;65;1.0;45.0;3.0;9.0;0.0;55.0;0.0;3.0;104.0
01012;Aranc;81;2.0;64.0;1.0;25.0;0.0;39.0;0.0;0.0;82.0
01013;Arandas;32;1.0;14.0;0.0;11.0;0.0;17.0;0.0;0.0;48.0
01014;Arbent;815;13.0;423.0;8.0;158.0;0.0;308.0;0.0;10.0;480.0
01015;Arboys en Bugey;155;3.0;88.0;0.0;101.0;0.0;46.0;147.0;0.0;1.0
01016;Arbigny;92;1.0;32.0;0.0;15.0;0.0;69.0;112.0;0.0;0.0
01017;Argis;98;3.0;54.0;5.0;24.0;0.0;27.0;0.0;1.0;102.0
01019;Armix;4;1.0;9.0;1.0;8.0;0.0;4.0;0.0;0.0;10.0
01021;Ars-sur-Formans;224;6.0;145.0;0.0;209.0;0.0;111.0;323.0;0.0;48.0
01022;Artemare;290;11.0;107.0;13.0;52.0;0.0;125.0;0.0;7.0;275.0
01023;Asnières-sur-Saône;7;1.0;8.0;0.0;5.0;0.0;8.0;32.0;0.0;0.0
01024;Attignat;677;12.0;345.0;0.0;218.0;0.0;441.0;749.0;0.0;0.0
01025;Bâgé-Dommartin;1010;25.0;350.0;0.0;389.0;0.0;359.0;984.0;0.0;1.0
01026;Bâgé-le-Châtel;203;3.0;76.0;0.0;87.0;0.0;75.0;180.0;0.0;0.0
01027;Balan;353;10.0;163.0;0.0;226.0;0.0;86.0;419.0;0.0;35.0
01028;Baneins;114;5.0;46.0;0.0;67.0;0.0;35.0;160.0;0.0;1.0
01029;Beaupont;135;1.0;48.0;0.0;35.0;0.0;92.0;147.0;0.0;0.0
01030;Beauregard;166;3.0;92.0;0.0;78.0;0.0;39.0;171.0;0.0;17.0
01031;Bellignat;734;13.0;315.0;5.0;130.0;0.0;264.0;0.0;4.0;427.0
01032;Béligneux;657;14.0;316.0;0.0;311.0;0.0;105.0;639.0;0.0;20.0
01033;Valserhône;3985;75.0;1758.0;0.0;1317.0;0.0;321.0;2101.0;0.0;41.0
01034;Belley;2229;35.0;964.0;0.0;834.0;0.0;546.0;1458.0;0.0;12.0
01035;Belleydoux;69;1.0;57.0;2.0;17.0;0.0;42.0;0.0;2.0;77.0
